"ProbeID" "X" "Y" "Z" "hemi" "rgbx" "rgby" "rgbz" "moda" "ROINb" "ROIlabel" "SumR2_ADNI1" "SumR2_ADNI2GO3" "SumR2_AIBL" "SumR2_UKB" "SumR2_AVERAGE"
"LogJacs_10_1047" 128.494553 112.681526 107.768768 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 390.966697290693 367.347709466041 291.19062291178 331.652416987915 345.289361664107
"LogJacs_10_1048" 147.649551 114.491531 109.305756 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 437.184256861756 366.087966482702 376.804954487534 383.724318052247 390.95037397106
"LogJacs_10_1049" 128.722565 113.524529 107.265762 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 387.437636483023 347.269536396088 262.074015832007 310.322586741405 326.775943863131
"LogJacs_10_105" 146.49054 110.27253 97.285751 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 492.641771855538 513.085162378164 626.17964558154 368.743971314851 500.162637782523
"LogJacs_10_1050" 147.186554 115.50853 109.297745 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 401.501093331359 438.336796071323 478.181048438693 456.793915482594 443.703213330992
"LogJacs_10_1051" 128.774551 113.982521 107.574768 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 369.307534012151 322.009682507284 235.615317205367 275.757039070646 300.672393198862
"LogJacs_10_1052" 128.922562 114.506523 107.600769 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 360.320507659371 307.122264064829 222.723912460276 265.468758629074 288.908860703388
"LogJacs_10_1053" 146.457565 116.275536 109.418747 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 391.913317177243 480.72256948536 572.870813094172 516.512350354423 490.5047625278
"LogJacs_10_1054" 145.846558 117.075531 108.818756 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 401.008838390414 484.346237706931 611.160422574621 523.334272177367 504.962442712333
"LogJacs_10_1055" 145.140564 117.385536 109.100754 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 410.869659185823 487.72303544487 596.971887819975 486.114517213288 495.419774915989
"LogJacs_10_1056" 144.680557 117.363533 109.683762 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 419.67070707642 482.307114183277 576.728647892426 451.205982379188 482.478112882828
"LogJacs_10_1057" 144.255554 117.860535 109.132751 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 429.73747632956 492.312704796512 578.197705857162 442.84061931202 485.772126573813
"LogJacs_10_1058" 144.049561 117.612534 109.874756 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 434.933127991741 476.624735462601 556.185669152319 411.003980811069 469.686878354433
"LogJacs_10_1059" 143.272552 118.310532 108.879761 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 431.09697909762 483.50692553331 555.773025547636 414.50504622879 471.220494101839
"LogJacs_10_106" 146.632538 109.170532 97.592758 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 489.780519150661 540.24975433881 643.28749570573 431.920605851755 526.309593761739
"LogJacs_10_1060" 142.324554 118.555534 108.569763 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 412.277914768706 469.4854992345 538.539837713599 405.233604485005 456.384214050452
"LogJacs_10_1061" 141.187561 118.667534 108.330765 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 392.932142642468 467.261335947991 528.91669384612 412.115853409569 450.306506461537
"LogJacs_10_1062" 134.589554 118.130531 108.260757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 476.322454311304 380.896330882414 553.655287549577 480.661594191601 472.883916733724
"LogJacs_10_1063" 133.657562 117.824532 107.57576 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 453.231885805901 353.550360619733 438.908362650822 436.01605769751 420.426666693491
"LogJacs_10_1064" 132.416565 117.165527 107.625763 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 375.875120406067 284.410888516998 330.875829179504 345.729962739579 334.222950210537
"LogJacs_10_1065" 131.367554 116.661522 107.669769 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 329.705739911876 252.801069283305 265.079837573045 300.599406427264 287.046513298872
"LogJacs_10_1066" 130.437561 116.222527 107.666763 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 332.357015107076 257.60873874455 239.975539237728 290.65501175777 280.149076211781
"LogJacs_10_1067" 129.34256 115.195526 107.344772 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 366.019571099497 306.534694236332 232.211860219842 288.541029812665 298.326788842084
"LogJacs_10_1068" 129.734558 115.794525 107.691772 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 345.79263650403 271.573650118111 229.360468027591 287.189956234934 283.479177721166
"LogJacs_10_1069" 140.263565 118.588531 108.546753 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 380.168687609799 444.944496837517 489.146238163873 384.651155097666 424.727644427214
"LogJacs_10_107" 136.859543 108.555534 98.257751 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 636.770462820773 571.055227987218 775.818230771166 510.414617368539 623.514634736924
"LogJacs_10_1070" 139.695557 118.641533 108.345764 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 375.862891275987 439.811174085398 489.662800571099 391.152411882626 424.122319453777
"LogJacs_10_1071" 139.697556 118.440529 108.893753 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 402.425760582587 438.326866861949 481.050261316295 376.260135801555 424.515756140597
"LogJacs_10_1072" 138.871552 118.655533 108.216766 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 397.926711177076 439.548964031248 504.955548223294 415.442559227772 439.468445664847
"LogJacs_10_1073" 137.919556 118.653534 108.10376 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 426.834876559813 432.337629789709 519.57900100533 438.555025843325 454.326633299544
"LogJacs_10_1074" 136.938553 118.60453 108.044754 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 430.339688992991 405.164169504872 519.299037667467 440.087187125563 448.722520822723
"LogJacs_10_1075" 135.334564 118.387535 107.934753 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 391.91195850356 356.165161266911 500.927743378212 423.54203370778 418.136724214116
"LogJacs_10_1076" 136.035553 118.49453 108.025757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 399.469705476888 367.117329399536 503.538678328308 420.583961826599 422.677418757833
"LogJacs_10_1077" 141.913574 97.626534 109.090744 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 1100.26751239812 775.225136319031 949.619687173773 492.576132855742 829.422117186666
"LogJacs_10_1078" 141.280579 97.029533 109.747757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 1133.77518414037 823.561739266914 955.464332779982 490.809852233201 850.902777105117
