"V1" "b_ADNI1" "se_ADNI1" "t_ADNI1" "pval_ADNI1" "b_ADNI2GO3" "se_ADNI2GO3" "t_ADNI2GO3" "pval_ADNI2GO3" "b_AIBL" "se_AIBL" "t_AIBL" "pval_AIBL" "b_ARWIBO" "se_ARWIBO" "t_ARWIBO" "pval_ARWIBO" "b_OASIS" "se_OASIS" "t_OASIS" "pval_OASIS" "TE.random" "seTE.random" "pval.random" "Q" "pval.Q" "TE.fixed" "seTE.fixed" "pval.fixed"
"L_frontalpole_surfavg" 0.00940644402342451 0.0235751661212559 0.398997995392424 0.690140822276139 0.00815195882645902 0.0143126370822659 0.569563720480255 0.569157416005652 -0.0176379855987348 0.0159166221725776 -1.10814878983073 0.268329266448642 0.0266364180309962 0.0097565775112473 2.7300985412446 0.00646602071679132 0.00219981719755425 0.0140263150446182 0.156835005527579 0.875407023568694 0.00800098538553444 0.00834813429312242 0.337853035817159 6.23957338783204 0.181956923276037 0.0106079153776687 0.00617610655896202 0.0858744841008451
"L_frontalpole_thickavg" 0.0205922954539453 0.0243598982647185 0.845335856093045 0.398507525863463 -0.00125188939154008 0.0145060076194008 -0.0863014431252446 0.9312516121036 0.0289403079896157 0.015081534117454 1.91892335118102 0.0555618642356286 0.00748198451945905 0.0110181675671361 0.679058879243731 0.497290320318788 0.0105203946110915 0.0132076430370851 0.796538381719724 0.425911114277838 0.0112050883769411 0.00634951804635059 0.0776117123909276 2.38568355740049 0.665216012528281 0.0112050883769411 0.00634951804635059 0.0776117123909276
"L_fusiform_surfavg" -0.0598699911353196 0.0342699553451456 -1.74701106354959 0.0815226803983687 -0.046060012299423 0.019022675092212 -2.42132150584227 0.0157188674056632 -0.0982438534172846 0.0223823710669992 -4.38934075050415 1.38745864575472e-05 -0.0170510156723767 0.0137057655093463 -1.24407612699554 0.213823612624509 -0.0395140008085611 0.0205518885652363 -1.92264573073832 0.0548126666401271 -0.048583225038713 0.0145168063493965 0.000817831324794892 9.96017010970043 0.0411039825244279 -0.0420003769314731 0.00867042370604166 1.27188532263212e-06
"L_fusiform_thickavg" -0.1238992714551 0.0348492781823731 -3.5552894612827 0.000430070466892303 -0.0884810431712379 0.0200343522461793 -4.41646638154282 1.16298742015254e-05 -0.0397770568446884 0.0220402057201562 -1.80474979905979 0.0717141659037035 -0.114210210868126 0.0185526593166471 -6.15600216221544 1.16180706696759e-09 -0.080238411754305 0.0178847569236062 -4.48641332376163 8.09660612699946e-06 -0.0868075292557617 0.0136579177364833 2.07291751591093e-10 8.00882452925224 0.0912554749926994 -0.086541848988751 0.00936379550790664 2.41533710669248e-20
"L_inferiorparietal_surfavg" -0.0513943148457013 0.0305415788978344 -1.6827654856228 0.0933225910997129 -0.0182298797760209 0.0172202303559165 -1.05863158617721 0.290134858411838 -0.0379777888590918 0.0188674622494847 -2.01287212646359 0.0446625520314608 -0.0148337292321108 0.0123073644986171 -1.20527260192689 0.228442424202501 -0.0439619462974315 0.0170018849585903 -2.58571013769973 0.00986048729390844 -0.0273334217418992 0.00759960587702108 0.000322292963571193 3.20645918503495 0.523888309414539 -0.0273334217418992 0.00759960587702108 0.000322292963571193
"L_inferiorparietal_thickavg" -0.000318270913321472 0.0393350837449663 -0.00809127331175954 0.993548831520251 -0.00455193290850001 0.021556870674013 -0.211159262275827 0.832824808619327 -0.0716465392321411 0.0269553831090842 -2.65796775887765 0.00811256801022512 -0.0821984890061208 0.0216658392147361 -3.79392130585983 0.000159080909864839 -0.0232710955964596 0.0214026042600087 -1.08730205510281 0.27716932802009 -0.0387462123450611 0.0171668978540744 0.0240061679318701 9.50162877446408 0.0497137904815987 -0.039411292730758 0.0108542300991328 0.0002823671945117
"L_inferiortemporal_surfavg" -0.14408659827164 0.0331651182669675 -4.34452237172181 1.83663258292503e-05 -0.0890636008406725 0.0180623514093104 -4.93089735784699 1.02446762358648e-06 -0.0613967034788219 0.0217103484580283 -2.82799253994092 0.00487165884577526 -0.0110429761247563 0.0137548773879373 -0.802840753378199 0.422297168240469 -0.066933712019657 0.0191369206692286 -3.49762185758985 0.000490391671125003 -0.0694722931226684 0.0202836988464864 0.000614729745016653 21.4604015393562 0.000256589252415569 -0.054945122445264 0.00841793583420174 6.70333036890523e-11
"L_inferiortemporal_thickavg" -0.194061151006924 0.0327040352080266 -5.93385953056019 7.1851961754328e-09 -0.114066880967734 0.0175325608930343 -6.50600226992812 1.47513553767325e-10 -0.0402451321932094 0.0215184781580963 -1.87025922082074 0.0620307039696343 -0.0803041128248266 0.0178190305635626 -4.50664880664368 7.53368581035436e-06 -0.0556246164950168 0.0157234326365826 -3.53768911539068 0.000422469627859271 -0.0930278928728947 0.0246258846933328 0.000158317230054484 21.6709080693569 0.000233027420045495 -0.0825089726321455 0.00859324679498783 7.87080932311595e-22
"L_insula_surfavg" -0.00900572943580569 0.0342015918416237 -0.263313166168062 0.792465948382385 0.0120633424964995 0.0181785898459273 0.663601665406524 0.507165033131836 0.0572127860376337 0.0195915296493979 2.92028172692438 0.00365474651373439 -0.00936032401006948 0.0130869646128716 -0.715240262884427 0.474662218150623 0.0287324226477562 0.0163303808729098 1.75944595973385 0.0788122086708339 0.0169512264776128 0.0126742291365976 0.181073766687772 9.32681802312304 0.0534299941878489 0.0143672658840235 0.00788726285100719 0.0685190147212069
"L_insula_thickavg" -0.0382483915755766 0.0257009349070475 -1.48821012597049 0.137606300118085 -0.0130580551060683 0.015519497599089 -0.841396767047077 0.400414684515672 0.0018951175972262 0.0168940272173707 0.112176781346582 0.91072816852158 -0.0844822645958497 0.0202428605812394 -4.17343508625189 3.31774817513981e-05 -0.00174034814078991 0.0145045687927371 -0.119986203358307 0.904518545266043 -0.0249421301747973 0.0157312740288381 0.112849959903873 14.1123963012652 0.00694483959950374 -0.0195512781284663 0.00781747094908085 0.0123852872829733
